c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
,,,Balenciaga,,,,,,,,,,,,,,,Gucci,,Prada,
,,,,,,,,,,,,,,,,,,Chanel,Prada,Dior,
Giorgio Armani,,,,,,,,,,,Burberry,,,,,,,Hermes,,Hermes,
,,,,,Chanel,,,,,,,,,,,,,,,Chanel ,Hermes
Dolce and Gabbana,,,,,,,YSL,,YSl,,,,,,,,,,,YSL,Chanel
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Burberry,,,,,,,Prada,,,
Hermes,,,,,,,Gucci,,,,,,,,,,,Manolo ,Manolo Hangisi Satin Heels,Hermes,Hermes
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Burberry,,,,,,,,,Louis Vuitton,
Fendi,,,,,,,,,,,,,,,,,,,,Chanel,
Dolce & Gabbana,,,,,,,,,,,,,,,,,,,,Chanel,Hermes
,,,,,Chanel,,,,,,,,,,,,,,,Chanel,
,,,,,Prada,Prada,,,,,,,,,,,,Hermes,Chanel ,Chanel,
,,,,,,,,,,,Chanel,,,,,,,Gucci,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Balenciaga,,,,,,,,,,,,,,,Gucci,
Chanel,,,,,,,,,,,,,,,,,,Gucci,Fendi,Chanel,
,,,,,,,,,,,Burberry,,,,,,,Manolo,,Chanel,
,,,Versace,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,Versace,,,,,,,,,,,Fendi,
,,,,,,,,,,,Prada,,,,,,,,,Louis Vuitton,
,,,,,,,,,,,Giorgio Armani,,,,,,,Chloe,,,
,,,,,Chanel ,,,,,,,,,,,,,,,Hermes,
,,,,,Brunello Cuccinelli,,,,,,,,,,,,,,,Hermes,
,,,,,,,,,,,Prada,,,,,,,,,Hermes,
,,,,,,,,,,,Burberry,,,,,,,Chanel,,,
Chanel,,,Balmain ,,,,,,,,,,,Dolce & Gabbana,Strapless,,,Chanel ,,Chanel ,
,,,,,Celine,,,,,,,,,,,,,,,Guccie,
,,,,,,,,,,,YSL,Fendi,Red hooded,,,,,Gucci,Chanel,Chanel ,Dior
,,,,,,,,,,,,,,,,,,,,,
Versace,,,,,,,,,,,,,,,,,,Fendi,Gucci,Louis Vuitton ,Chanel
,,,,,Gucci,,,,,,Gucci,,,,,,,Dior,,Dior,
Balenciaga,,,,,,,,,,,,,,,,,,Gucci,,,
,Dolce & Gabbana,,,,,,,,,,,,,,,,,Dolce & Gabbana,Prada,,
,,,,,,,,,,,Burberry ,,,,,,,,,Chanel,
,,,,,,,,,,,Chanel,Chanel ,Lesage tweed cape jacket (vintage),,,,,,,Hermes,Hermes
,,,Gucci,,,,,,,,,,,,,,,,,Chanel ,Lois Vuitton 
,,,,,Gucci,,,,,,,,,,,,,Balenciaga,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chanel,,,,,,,,,Hermes ,
,,,Prada,,,,,,,,,,,,,,,YSL,,Chanel,
,,,Gucci,,,,,,,,,,,,,,,Valentino ,,Gucci,
,,,Gucci,,,,,,,,,,,,,,,Gucci,,Gucci,
,,,,,,,Dolce and Gabbana,,,,,,,,,,,,,Chanel,
The Row,,,Dolce & Gabbana,,,,,,,,Chanel,Max Mara,Dress Coat,,,,,Manolo Blahnik,,Hermes,Chanel 
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Louis Vuitton ,Ombre Bikini,,,,,Louis Vuitton,
,,,Hermes,,,,,,,,,,,,,,,Chanel,,Chanel ,
,,,,,,,,,,,,Oversized ,,,,,,,,Chanel,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gucci,,,,,,,,,,,,,Gucci,
,,,,,,,,,,,Burberry,,,,,,,Gucci,Gucci ,Louis Vuitton,
,,,Loro Piana,,,,,,,,,,,Versace,Two piece,,,,,Dior,
,,,,,,,,,,,Burberry,,,,,,,Valentino,,,
,,,,,,,,,,,Chanel,,,,,,,Chanel,,,
,,,,,Balenciaga,,,,,,,,,,,,,Valentino,,,
Gucci,,,,,,,,,,,,,,,,,,Chanel,,,
Stella McCartney,,,,,,,,,,,,,,,,,,Aquazzura,YSL,Chanel,
,,,Gucci,,,,,,,,,,,,,,,,,Fendi,
,,,,,Stella McCartney,,,,,,,,,,,,,Chanel,Hermes,,
,,,,,Louis Vuitton,,,,,,,,,,,,,,,Dior,
,,,,,,,Hermes,,,,,,,,,,,Chanel,,Hermes,
Armani,,,,,,,,,,,,,,,,,,Chanel,,Louis Vuitton,
,Balmain,,,,,,,,,,,,,,,,,,,Gucci,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chanel,,,,,,,Gucci,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Burberry,,,,,,,,,Givenchy,Louis Vuitton
,,,,,Chanel ,,,,,,Chanel,,,,,,,Louis Vuitton,Chanel,,
,,,,,,,,,,,YSL,,,,,,,Chanel,,,
,,,Burberry,,,,,,,,,,,,,,,Louboutin,,,
,,,,,,,,,,,Gucci,,,,,,,Chanel,Chanel,Chanel,Chanel
,,,,,,,,,,,Fendi,,,,,,,,,Fendi,Dior
,,,YSL,,,,,,,,,,,,,,,YSL,Valentino,Celine,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Bottega,
Balmain,,,,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,,,Burberry,,,,,,,Valentino,,YSL,
,,,Attico,,,,,,,,Balenciago,,,,,,,,,Bottega,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Chanel,,,,,,,,,,,Hermes,
,,,,,,,,,,,,,,,,,,,,,
,,,Dior,Balmain,,,,,,,,,,,,,,Hermes ,Chanel Slides,,
,,,Chanel,,,,,,,,,,,,,,,Chanel,,Hermes,
,,,,,,,,,,,Gucci,,,,,,,,,Chanel,
,,,,,,,,,,,Gucci,,,,,,,,,Prada,Chanel 
,,,,,,,,,,,Balmain,,,,,,,,,Hermes,Hermes
,,,Balmain,,,,,,,,,,,,,,,Chanel,,Saint Laurent ,
,,,,,Armani,,,,,,,,,,,,,Saint Laurent ,,,
Gucci,,,,,,,,,,,,,,,,,,,,Christian Dior,
,,,,,,,,,Armani,,St John Topper,Max Mara,Black and white pattern,,,,,,,Louis Vuitton,
,,,Dolce & Gabbana,,Gucci,,,,,,Saint Laurent,,,,,,,Chanel,Louis Vuitton,Hermes,
,,,,,,,,,,,,,,Fendi,"One piece, logo",,,Prada,,,
,,,,,,,,,,,,White quilted,,,,,,,,YSL,Gucci
,,,The Row,Saint Laurent,,,,,Brunello Cucinelli,,,,,,,,,Manolo Blahnik,Chanel ,,
,,,,,,,,,,,Celine,,,,,,,Fendi,,,
,,,,,,,,,,,,,,,,,,,,,
